Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia
Barracas,jovellanos 1431,363.09m2,9.27m,8.42m,41.08m,41.02m,20.44 m,27.25 m,USAM  (Codigo Anterior : E3 + 25% - FOT: 3.75),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1252.30m2,,U$S  295.000,PLUSVALIA  U$S 0
Belgrano,MANUEL UGARTE 2951,401.13m2,13.40m,13.86m,29.43m,29.43m,No Alcanzada,m,CA  (Codigo Anterior : C2 - FOT: 5),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,4000.34m2,,U$S  849.000,PLUSVALIA  U$S 127.668
Belgrano,Cabildo  2120,401.13m2,13.40m,13.86m,29.43m,29.43m,No Alcanzada,m,CA  (Codigo Anterior : C2 - FOT: 5),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,4000.34m2,,U$S  849.000,PLUSVALIA  U$S 127.668
Boedo,SALCEDO 3674,141m2,8.62m,12m,12.43m,15.50m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1013.48m2,,U$S  298.000,PLUSVALIA  U$S 26.533
Boedo,Inclan  4121,141m2,8.62m,12m,12.43m,15.50m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1013.48m2,,U$S  298.000,PLUSVALIA  U$S 26.533
Boedo,MUÑIZ 855,141m2,8.62m,12m,12.43m,15.50m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1013.48m2,,U$S  298.000,PLUSVALIA  U$S 26.533
Boedo,"SAN JUAN, AV 4041",141m2,8.62m,12m,12.43m,15.50m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1013.48m2,,U$S  298.000,PLUSVALIA  U$S 26.533
Boedo,GIBSON 4160,141m2,8.62m,12m,12.43m,15.50m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1013.48m2,,U$S  298.000,PLUSVALIA  U$S 26.533
Boedo,CHICLANA 3834,141m2,8.62m,12m,12.43m,15.50m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1013.48m2,,U$S  298.000,PLUSVALIA  U$S 26.533
Boedo,CHICLANA AV.  3626,141m2,8.62m,12m,12.43m,15.50m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1013.48m2,,U$S  298.000,PLUSVALIA  U$S 26.533
Caballito,VALLE 316,1308.45m2,17.90m,18.88m,69.80m,72.50m,35 m,46.41 m,CM  (Codigo Anterior : R2a II - FOT: 4.45),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6250.00m2,,U$S  295.000,PLUSVALIA  U$S 49.257
Caballito,AMPERE  857,1308.45m2,17.90m,18.88m,69.80m,72.50m,35 m,46.41 m,CM  (Codigo Anterior : R2a II - FOT: 4.45),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6250.00m2,,U$S  295.000,PLUSVALIA  U$S 49.257
