Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia
Villa Gral. Mitre,LUIS VIALE 2350,341.47m2,8.87m,8.72m,38.35m,39.30m,m,34.47 m,USAB 2  (Codigo Anterior : R2a II 16 - FOT: 3.46),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1038.00m2,,U$S  379.000,PLUSVALIA  U$S 0
Villa Gral. Mitre,GAONA 2323,341.47m2,8.87m,8.72m,38.35m,39.30m,m,34.47 m,USAB 2  (Codigo Anterior : R2a II 16 - FOT: 3.46),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1038.00m2,,U$S  379.000,PLUSVALIA  U$S 0
Villa Gral. Mitre,GAONA 2483,341.47m2,8.87m,8.72m,38.35m,39.30m,m,34.47 m,USAB 2  (Codigo Anterior : R2a II 16 - FOT: 3.46),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1038.00m2,,U$S  379.000,PLUSVALIA  U$S 0
Villa Gral. Mitre,JUAN B JUSTO  4305,341.47m2,8.87m,8.72m,38.35m,39.30m,m,34.47 m,USAB 2  (Codigo Anterior : R2a II 16 - FOT: 3.46),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1038.00m2,,U$S  379.000,PLUSVALIA  U$S 0
Villa Gral. Mitre,JUAN B JUSTO 4381,341.47m2,8.87m,8.72m,38.35m,39.30m,m,34.47 m,USAB 2  (Codigo Anterior : R2a II 16 - FOT: 3.46),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1038.00m2,,U$S  379.000,PLUSVALIA  U$S 0
Villa Gral. Mitre,"Figueroa, D. Apolinario, Coron 1767",341.47m2,8.87m,8.72m,38.35m,39.30m,m,34.47 m,USAB 2  (Codigo Anterior : R2a II 16 - FOT: 3.46),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1038.00m2,,U$S  379.000,PLUSVALIA  U$S 0
Villa Lugano,Av. Escalada  4310,13234.43m2,67.26m,173m,140m,140m,No Alcanzada,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,42700.00m2,,U$S  2.890.000,PLUSVALIA  U$S 0
Villa Luro,LEOPARDI 267,292.33m2,8.83m,8.78m,33.20m,33.20m,No Alcanzada,m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,927.27m2,,U$S  240.000,PLUSVALIA  U$S 8.446
Villa Ortuzar,GUEVARA 1339,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,GIRARDOT 1356,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,CHORROARIN  1428,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,MARIANO ACHA 1192,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,TRONADOR 1415,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,ZARRAGA 3630,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,14 DE JULIO 1084,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,14 DE JULIO 1084 / 90,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,HEREDIA 734,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,GUEVARA 1315,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,ESTOMBA 1184,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,TRONADOR 632,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,ESTOMBA 1069,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,COMBATIENTE DE MALVINAS  3075,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,BALLIVIAN 2127,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,HEREDIA 1395,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,TRIUNVIRATO  3098,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,TRONADOR 1033,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Ortuzar,AV DE LOS INCAS 4250,309.15m2,8.70m,9.30m,33m,35.70m,16 m,22 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,1131.10m2,,U$S  398.000,PLUSVALIA  U$S 24.228
Villa Pueyrredon,Escobar  3039,373.68m2,8.69m,8.55m,43.36m,43.34m,No Alcanzada,m,USAB 1  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  2,,PB + 2 PISOS,472.00m2,,U$S  349.900,PLUSVALIA  U$S 0
Villa Pueyrredon,"ALBARELLOS, AV 3042",373.68m2,8.69m,8.55m,43.36m,43.34m,No Alcanzada,m,USAB 1  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  2,,PB + 2 PISOS,472.00m2,,U$S  349.900,PLUSVALIA  U$S 0
Villa Santa Rita,GAONA. AV 3483,928.00m2,16m,16m,58m,58m,29.04 m,38.72 m,USAM  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 5 PISOS + 2 RETIROS,2963.12m2,,U$S  580.000,PLUSVALIA  U$S 0
Villa Santa Rita,EMILIO LAMARCA 1708,928.00m2,16m,16m,58m,58m,29.04 m,38.72 m,USAM  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 5 PISOS + 2 RETIROS,2963.12m2,,U$S  580.000,PLUSVALIA  U$S 0
Villa Santa Rita,EMILIO LAMARCA 1890,928.00m2,16m,16m,58m,58m,29.04 m,38.72 m,USAM  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 5 PISOS + 2 RETIROS,2963.12m2,,U$S  580.000,PLUSVALIA  U$S 0
Villa Santa Rita,Gaona Av.  3617,928.00m2,16m,16m,58m,58m,29.04 m,38.72 m,USAM  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 5 PISOS + 2 RETIROS,2963.12m2,,U$S  580.000,PLUSVALIA  U$S 0
Villa Santa Rita,SAN NICOLAS 1576,928.00m2,16m,16m,58m,58m,29.04 m,38.72 m,USAM  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 5 PISOS + 2 RETIROS,2963.12m2,,U$S  580.000,PLUSVALIA  U$S 0
Villa Santa Rita,ARGERICH 1409,928.00m2,16m,16m,58m,58m,29.04 m,38.72 m,USAM  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 5 PISOS + 2 RETIROS,2963.12m2,,U$S  580.000,PLUSVALIA  U$S 0
Villa Santa Rita,EMILO LAMARCA 1708,928.00m2,16m,16m,58m,58m,29.04 m,38.72 m,USAM  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 5 PISOS + 2 RETIROS,2963.12m2,,U$S  580.000,PLUSVALIA  U$S 0
Villa Santa Rita,CESAR DIAZ  3158,928.00m2,16m,16m,58m,58m,29.04 m,38.72 m,USAM  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 5 PISOS + 2 RETIROS,2963.12m2,,U$S  580.000,PLUSVALIA  U$S 0
Villa Urquiza,NAHUEL HUAPI 4360,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,NAHUEL HUAPI 4470,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,MANUELA PEDRAZA 5441,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,LE BRETON 5919,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,MARIANO ACHA 2844,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,MARIANO ACHA 3490,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,AV DE LOS CONSTITUYENTES 4441,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,Monroe 4831,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,Galvan  2833,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,"TAMBORINI, JOSE, PASCUAL 5327",377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,CERETTI 1934,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,Constituyentes  6253,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,CONGRESO 5702,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,PACHECO 2578,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,ANDONAEGUI 3350,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,PACHECO 2685,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,AV DE LOS CONSTITUYENTES 4879,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,OLAZABAL  4486,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,"LE BRETON, TOMAS, A 5223",377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,GALVAN 3237,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,MONROE 5517,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,JURAMENTO 4536,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,MARIANO ACHA 2655,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,ALVAREZ THOMAS 3275,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,CULLEN  5880,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,LE BRETON 5164,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,BLANCO ENCALADA 4038,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,DONADO 2548,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,Monroe 4823 / 4831,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,AIZPURUA 3170,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,OLAZABAL 5001/ 5007,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,MARIANO ACHA 2207,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,DIAZ COLODRERO 3164,377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
Villa Urquiza,"ROOSEVELT FRANKLIN D, AV 4364",377.23m2,8.73m,8.64m,43.48m,43.39m,No Alcanzada,37.34 m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,1100.52m2,,U$S  770.000,PLUSVALIA  U$S 50.920
