Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia,Factibilidad
San Cristobal,SAN JUAN 3258 / 3266,190.57m2,8.70m,8.68m,21.95m,21.91m,23.21 m,m,USAM  (Codigo Anterior : R2AII - FOT: 2.77),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,843.36m2,,U$S  500.000,PLUSVALIA  U$S 48.830,https://lideresenterrenos.com.ar/estudioTerreno/1138
San Cristobal,CARLOS CALVO 2222,190.57m2,8.70m,8.68m,21.95m,21.91m,23.21 m,m,USAM  (Codigo Anterior : R2AII - FOT: 2.77),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,843.36m2,,U$S  500.000,PLUSVALIA  U$S 48.830,https://lideresenterrenos.com.ar/estudioTerreno/1138
San Cristobal,HUMBERTO 1°  2450,190.57m2,8.70m,8.68m,21.95m,21.91m,23.21 m,m,USAM  (Codigo Anterior : R2AII - FOT: 2.77),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,843.36m2,,U$S  500.000,PLUSVALIA  U$S 48.830,https://lideresenterrenos.com.ar/estudioTerreno/1138
San Cristobal,PAVON 2170,190.57m2,8.70m,8.68m,21.95m,21.91m,23.21 m,m,USAM  (Codigo Anterior : R2AII - FOT: 2.77),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,843.36m2,,U$S  500.000,PLUSVALIA  U$S 48.830,https://lideresenterrenos.com.ar/estudioTerreno/1138
Versalles,RUIZ DE LOS LLANOS 760,368.22m2,8.66m,8.66m,42.51m,42.53m,No Alcanzada,28.43 m,USAB 2  (Codigo Anterior : R1bI - FOT: 1),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,917.48m2,,U$S  290.000,PLUSVALIA  U$S 10.031,https://lideresenterrenos.com.ar/estudioTerreno/222
Villa Crespo,SERRANO 534,331.71m2,8.66m,8.68m,38.18m,38.34m,24 m,32 m,USAA  (Codigo Anterior : E3 - FOT: 3),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,1574.60m2,,U$S  900.000,PLUSVALIA  U$S 60.094,https://lideresenterrenos.com.ar/estudioTerreno/1652
Villa Crespo,CORDOBA 5022,331.71m2,8.66m,8.68m,38.18m,38.34m,24 m,32 m,USAA  (Codigo Anterior : E3 - FOT: 3),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,1574.60m2,,U$S  900.000,PLUSVALIA  U$S 60.094,https://lideresenterrenos.com.ar/estudioTerreno/1652
Villa Crespo,JULIAN ALVAREZ 1021,331.71m2,8.66m,8.68m,38.18m,38.34m,24 m,32 m,USAA  (Codigo Anterior : E3 - FOT: 3),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,1574.60m2,,U$S  900.000,PLUSVALIA  U$S 60.094,https://lideresenterrenos.com.ar/estudioTerreno/1652
Villa Crespo,MUÑECAS 1002,331.71m2,8.66m,8.68m,38.18m,38.34m,24 m,32 m,USAA  (Codigo Anterior : E3 - FOT: 3),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,1574.60m2,,U$S  900.000,PLUSVALIA  U$S 60.094,https://lideresenterrenos.com.ar/estudioTerreno/1652
Villa Crespo,MALABIA 234,331.71m2,8.66m,8.68m,38.18m,38.34m,24 m,32 m,USAA  (Codigo Anterior : E3 - FOT: 3),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,1574.60m2,,U$S  900.000,PLUSVALIA  U$S 60.094,https://lideresenterrenos.com.ar/estudioTerreno/1652
