Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia,Factibilidad
Barracas,IRIARTE 1656,208.24m2,23.83m,18.43m,23.25m,m,No Alcanzada,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 4,,PB + 5 PISOS + 2 RETIROS,1321.42m2,,U$S  1.300.000,PLUSVALIA  U$S 39.501,https://lideresenterrenos.com.ar/estudioTerreno/402
Barracas,jovellanos 1431,208.24m2,23.83m,18.43m,23.25m,m,No Alcanzada,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 4,,PB + 5 PISOS + 2 RETIROS,1321.42m2,,U$S  1.300.000,PLUSVALIA  U$S 39.501,https://lideresenterrenos.com.ar/estudioTerreno/402
Barracas,RIO CUARTO 2747,208.24m2,23.83m,18.43m,23.25m,m,No Alcanzada,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 4,,PB + 5 PISOS + 2 RETIROS,1321.42m2,,U$S  1.300.000,PLUSVALIA  U$S 39.501,https://lideresenterrenos.com.ar/estudioTerreno/402
Barracas,PARACAS 27,208.24m2,23.83m,18.43m,23.25m,m,No Alcanzada,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 4,,PB + 5 PISOS + 2 RETIROS,1321.42m2,,U$S  1.300.000,PLUSVALIA  U$S 39.501,https://lideresenterrenos.com.ar/estudioTerreno/402
Barracas,AV CASEROS 1402,208.24m2,23.83m,18.43m,23.25m,m,No Alcanzada,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 4,,PB + 5 PISOS + 2 RETIROS,1321.42m2,,U$S  1.300.000,PLUSVALIA  U$S 39.501,https://lideresenterrenos.com.ar/estudioTerreno/402
Belgrano,Cabildo  2120,388.14m2,8.66m,8.80m,44.43m,44.49m,21.49 m,m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,1508.30m2,,U$S  6.000.000,PLUSVALIA  U$S 194.665,https://lideresenterrenos.com.ar/estudioTerreno/2030
Belgrano,MANUEL UGARTE 2951,388.14m2,8.66m,8.80m,44.43m,44.49m,21.49 m,m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,1508.30m2,,U$S  6.000.000,PLUSVALIA  U$S 194.665,https://lideresenterrenos.com.ar/estudioTerreno/2030
Boedo,MUÑIZ 855,215.95m2,8.73m,8.65m,25m,24.70m,23.09 m,m,USAM  (Codigo Anterior : R2b III - FOT: 1.2),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1011.90m2,,U$S  2.700.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/154
Boedo,SALCEDO 3674,215.95m2,8.73m,8.65m,25m,24.70m,23.09 m,m,USAM  (Codigo Anterior : R2b III - FOT: 1.2),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1011.90m2,,U$S  2.700.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/154
Boedo,"SAN JUAN, AV 4041",215.95m2,8.73m,8.65m,25m,24.70m,23.09 m,m,USAM  (Codigo Anterior : R2b III - FOT: 1.2),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1011.90m2,,U$S  2.700.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/154
Boedo,CHICLANA 3834,215.95m2,8.73m,8.65m,25m,24.70m,23.09 m,m,USAM  (Codigo Anterior : R2b III - FOT: 1.2),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1011.90m2,,U$S  2.700.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/154
Boedo,CHICLANA AV.  3626,215.95m2,8.73m,8.65m,25m,24.70m,23.09 m,m,USAM  (Codigo Anterior : R2b III - FOT: 1.2),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1011.90m2,,U$S  2.700.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/154
Boedo,GIBSON 4160,215.95m2,8.73m,8.65m,25m,24.70m,23.09 m,m,USAM  (Codigo Anterior : R2b III - FOT: 1.2),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1011.90m2,,U$S  2.700.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/154
Boedo,Inclan  4121,215.95m2,8.73m,8.65m,25m,24.70m,23.09 m,m,USAM  (Codigo Anterior : R2b III - FOT: 1.2),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1011.90m2,,U$S  2.700.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/154
Caballito,"Gallardo, Angel Av. 146 / 48",205.92m2,8.64m,10.39m,26.49m,21.18m,17 m,m,U 85 Z-4  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 4 PISOS + 2 RETIROS,715.08m2,,U$S  3.800.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/2013
Caballito,ESPINOSA 1528,205.92m2,8.64m,10.39m,26.49m,21.18m,17 m,m,U 85 Z-4  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 4 PISOS + 2 RETIROS,715.08m2,,U$S  3.800.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/2013
Caballito,VALLE 316,205.92m2,8.64m,10.39m,26.49m,21.18m,17 m,m,U 85 Z-4  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 4 PISOS + 2 RETIROS,715.08m2,,U$S  3.800.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/2013
Caballito,AMPERE  857,205.92m2,8.64m,10.39m,26.49m,21.18m,17 m,m,U 85 Z-4  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 4 PISOS + 2 RETIROS,715.08m2,,U$S  3.800.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/2013
Chacarita,SANTOS DUMONT 4787,761.23m2,17.87m,18.22m,43.37m,41m,28.91 m,38.54 m,USAM  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,3203.07m2,,U$S  189.000,PLUSVALIA  U$S 13.966,https://lideresenterrenos.com.ar/estudioTerreno/1601
Chacarita,Giribone  1239,761.23m2,17.87m,18.22m,43.37m,41m,28.91 m,38.54 m,USAM  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,3203.07m2,,U$S  189.000,PLUSVALIA  U$S 13.966,https://lideresenterrenos.com.ar/estudioTerreno/1601
Chacarita,ALVAREZ THOMAS  920,761.23m2,17.87m,18.22m,43.37m,41m,28.91 m,38.54 m,USAM  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,3203.07m2,,U$S  189.000,PLUSVALIA  U$S 13.966,https://lideresenterrenos.com.ar/estudioTerreno/1601
Chacarita,ALVAREZ THOMAS 912 / 920,761.23m2,17.87m,18.22m,43.37m,41m,28.91 m,38.54 m,USAM  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,3203.07m2,,U$S  189.000,PLUSVALIA  U$S 13.966,https://lideresenterrenos.com.ar/estudioTerreno/1601
Chacarita,VIRREY LORETO 3735,761.23m2,17.87m,18.22m,43.37m,41m,28.91 m,38.54 m,USAM  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,3203.07m2,,U$S  189.000,PLUSVALIA  U$S 13.966,https://lideresenterrenos.com.ar/estudioTerreno/1601
Coghlan,IBERA 3579,196.50m2,7.93m,8.90m,27.16m,22.40m,m,m,USAA  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1240.48m2,,U$S  420.000,PLUSVALIA  U$S 20.355,https://lideresenterrenos.com.ar/estudioTerreno/1785
Coghlan,CONGRESO 3163,196.50m2,7.93m,8.90m,27.16m,22.40m,m,m,USAA  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1240.48m2,,U$S  420.000,PLUSVALIA  U$S 20.355,https://lideresenterrenos.com.ar/estudioTerreno/1785
Coghlan,Manuela Pedraza 3861,196.50m2,7.93m,8.90m,27.16m,22.40m,m,m,USAA  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1240.48m2,,U$S  420.000,PLUSVALIA  U$S 20.355,https://lideresenterrenos.com.ar/estudioTerreno/1785
Coghlan,"Balbin, Ricardo, Dr. Av.  2730",196.50m2,7.93m,8.90m,27.16m,22.40m,m,m,USAA  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1240.48m2,,U$S  420.000,PLUSVALIA  U$S 20.355,https://lideresenterrenos.com.ar/estudioTerreno/1785
Colegiales,DELGADO 1486,868.09m2,20.83m,20.85m,40.85m,42.46m,27.02 m,36.02 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,9059.08m2,,U$S  350.000,PLUSVALIA  U$S 49.412,https://lideresenterrenos.com.ar/estudioTerreno/1589
Colegiales,"CABILDO 450, PLANOS APROBADOS",868.09m2,20.83m,20.85m,40.85m,42.46m,27.02 m,36.02 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,9059.08m2,,U$S  350.000,PLUSVALIA  U$S 49.412,https://lideresenterrenos.com.ar/estudioTerreno/1589
Constitucion,VIRREY CEVALLOS 1048,338.00m2,8.66m,8.62m,39.20m,39.04m,21.24 m,28.32 m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,831.32m2,,U$S  700.000,PLUSVALIA  U$S 2.422,https://lideresenterrenos.com.ar/estudioTerreno/368
Constitucion,RONDEAU 1780,338.00m2,8.66m,8.62m,39.20m,39.04m,21.24 m,28.32 m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,831.32m2,,U$S  700.000,PLUSVALIA  U$S 2.422,https://lideresenterrenos.com.ar/estudioTerreno/368
Constitucion,RONDEAU  1786,338.00m2,8.66m,8.62m,39.20m,39.04m,21.24 m,28.32 m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,831.32m2,,U$S  700.000,PLUSVALIA  U$S 2.422,https://lideresenterrenos.com.ar/estudioTerreno/368
Constitucion,"Saenz PeÑa, Luis, Pres. 1619",338.00m2,8.66m,8.62m,39.20m,39.04m,21.24 m,28.32 m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,831.32m2,,U$S  700.000,PLUSVALIA  U$S 2.422,https://lideresenterrenos.com.ar/estudioTerreno/368
Constitucion,Rondeau 1567,338.00m2,8.66m,8.62m,39.20m,39.04m,21.24 m,28.32 m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,831.32m2,,U$S  700.000,PLUSVALIA  U$S 2.422,https://lideresenterrenos.com.ar/estudioTerreno/368
Constitucion,FILIBERTO 1715,338.00m2,8.66m,8.62m,39.20m,39.04m,21.24 m,28.32 m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,831.32m2,,U$S  700.000,PLUSVALIA  U$S 2.422,https://lideresenterrenos.com.ar/estudioTerreno/368
Constitucion,RONDEAU 1780 / 1786,338.00m2,8.66m,8.62m,39.20m,39.04m,21.24 m,28.32 m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,831.32m2,,U$S  700.000,PLUSVALIA  U$S 2.422,https://lideresenterrenos.com.ar/estudioTerreno/368
Constitucion,LUIS SAENZ PEÑA  1855,338.00m2,8.66m,8.62m,39.20m,39.04m,21.24 m,28.32 m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,831.32m2,,U$S  700.000,PLUSVALIA  U$S 2.422,https://lideresenterrenos.com.ar/estudioTerreno/368
Flores,REMEDIOS 3084,922.13m2,16.46m,24.88m,52.14m,51.92m,No Alcanzada,m,CA  (Codigo Anterior : C2 - FOT: 5),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,11482.74m2,,U$S  198.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/940
Flores,"Falcon, Ramon L.,Cnel. 3032 / 38",922.13m2,16.46m,24.88m,52.14m,51.92m,No Alcanzada,m,CA  (Codigo Anterior : C2 - FOT: 5),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,11482.74m2,,U$S  198.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/940
Flores,MENDEZ DE ANDES 1950,922.13m2,16.46m,24.88m,52.14m,51.92m,No Alcanzada,m,CA  (Codigo Anterior : C2 - FOT: 5),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,11482.74m2,,U$S  198.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/940
Flores,GAVILAN 1052,922.13m2,16.46m,24.88m,52.14m,51.92m,No Alcanzada,m,CA  (Codigo Anterior : C2 - FOT: 5),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,11482.74m2,,U$S  198.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/940
Flores,BILBAO 3326 / 3348,922.13m2,16.46m,24.88m,52.14m,51.92m,No Alcanzada,m,CA  (Codigo Anterior : C2 - FOT: 5),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,11482.74m2,,U$S  198.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/940
Flores,AV RIVADAVIA  7283,922.13m2,16.46m,24.88m,52.14m,51.92m,No Alcanzada,m,CA  (Codigo Anterior : C2 - FOT: 5),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,11482.74m2,,U$S  198.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/940
Floresta,PERGAMINO 266,488.29m2,8.70m,8.60m,56.27m,56.63m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,1717.80m2,,U$S  320.000,PLUSVALIA  U$S 6.754,https://lideresenterrenos.com.ar/estudioTerreno/1462
Floresta,BARADERO 140,488.29m2,8.70m,8.60m,56.27m,56.63m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,1717.80m2,,U$S  320.000,PLUSVALIA  U$S 6.754,https://lideresenterrenos.com.ar/estudioTerreno/1462
Floresta,BAHIA BLANCA 1162,488.29m2,8.70m,8.60m,56.27m,56.63m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,1717.80m2,,U$S  320.000,PLUSVALIA  U$S 6.754,https://lideresenterrenos.com.ar/estudioTerreno/1462
Floresta,AV. RIVADAVIA 8269,488.29m2,8.70m,8.60m,56.27m,56.63m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,1717.80m2,,U$S  320.000,PLUSVALIA  U$S 6.754,https://lideresenterrenos.com.ar/estudioTerreno/1462
La Boca,IRALA 1175,322.69m2,11.43m,11.14m,29.65m,27.54m,No Alcanzada,m,USAB 2  (Codigo Anterior : E3 2 - FOT: 3),MIXTURA 3,,PB + 3 PISOS + 1 RETIRO,977.38m2,,U$S  119.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/226
La Boca,IRALA 1152,322.69m2,11.43m,11.14m,29.65m,27.54m,No Alcanzada,m,USAB 2  (Codigo Anterior : E3 2 - FOT: 3),MIXTURA 3,,PB + 3 PISOS + 1 RETIRO,977.38m2,,U$S  119.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/226
La Boca,IRALA 625,322.69m2,11.43m,11.14m,29.65m,27.54m,No Alcanzada,m,USAB 2  (Codigo Anterior : E3 2 - FOT: 3),MIXTURA 3,,PB + 3 PISOS + 1 RETIRO,977.38m2,,U$S  119.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/226
La Paternal,Chorroarin 121/27/37,216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
La Paternal,AV. SAN MARTIN 2289,216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
La Paternal,Chorroarin 109/15/21/27/37/47,216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
La Paternal,CHORROARIN 109,216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
La Paternal,ALVAREZ JONTE 1691,216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
La Paternal,CHORROARIN 137,216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
La Paternal,CHORROARIN 147,216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
La Paternal,CHORROARIN 127,216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
La Paternal,Balboa 220,216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
La Paternal,CHORROARIN 121,216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
La Paternal,CHORROARIN  109/115,216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
La Paternal,"Segui, F. J., Alte. 2541",216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
La Paternal,Chorroarin 121/27/37/47,216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
La Paternal,MATURIN  2475,216.93m2,8.66m,8.66m,24.60m,25.50m,16.31 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,835.96m2,,U$S  1.350.000,PLUSVALIA  U$S 24.694,https://lideresenterrenos.com.ar/estudioTerreno/248
Liniers,HUMAITA 7241,244.36m2,8.66m,8.60m,28.35m,28.28m,No Alcanzada,m,AE 26 - 1 = USAB 1  (Codigo Anterior : RIBI - FOT: 1),MIXTURA  1,,PB + 2 PISOS,419.21m2,,U$S  150.000,PLUSVALIA  U$S 903,https://lideresenterrenos.com.ar/estudioTerreno/1259
Mataderos,LARRAZABAL 1471,395.81m2,8.73m,17.63m,35.63m,35.55m,25.65 m,m,USAM  (Codigo Anterior : R2BIII - FOT: 1.2),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,900.87m2,,U$S  360.000,PLUSVALIA  U$S 14.160,https://lideresenterrenos.com.ar/estudioTerreno/680
Monte Castro,ALCARAZ 4337,225.58m2,8.66m,8.80m,25.98m,25.70m,No Alcanzada,m,AE 26 - 1 = USAB 1  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 2 PISOS,395.88m2,,U$S  1.200.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/1470
Monte Castro,NEMESIO TREJO 5180,225.58m2,8.66m,8.80m,25.98m,25.70m,No Alcanzada,m,AE 26 - 1 = USAB 1  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 2 PISOS,395.88m2,,U$S  1.200.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/1470
Monte Castro,Marcos Paz 2123,225.58m2,8.66m,8.80m,25.98m,25.70m,No Alcanzada,m,AE 26 - 1 = USAB 1  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 2 PISOS,395.88m2,,U$S  1.200.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/1470
Monte Castro,COLIQUEO 2170,225.58m2,8.66m,8.80m,25.98m,25.70m,No Alcanzada,m,AE 26 - 1 = USAB 1  (Codigo Anterior : R2BII - FOT: 1.2),MIXTURA  1,,PB + 2 PISOS,395.88m2,,U$S  1.200.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/1470
Nueva Pompeya,AV FERNANDEZ DE LA CRUZ 1105,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/741
Nueva Pompeya,Achala  3562,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/741
Nueva Pompeya,CHICLANA 3940 / 52,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/741
Nueva Pompeya,MATANZA 3418,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/741
Nueva Pompeya,CHICLANA 3929/39,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/741
Nueva Pompeya,CASEROS 3590,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/741
Nueva Pompeya,CHICLANA 3952,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/741
Nueva Pompeya,CHICLANA 3939,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/741
Nueva Pompeya,CASEROS 4194,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/741
Nueva Pompeya,SAENZ  168,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/741
Nueva Pompeya,GUARANI 384,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/741
Nueva Pompeya,CHICLANA 3940,549.93m2,31.78m,21.53m,14.76m,30.77m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6739.93m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/741
