Coordinates,Exact_Match
"20.6412367,-103.4719972",True
,False
"20.6390709,-103.4756104",True
"20.6427344,-103.4535396",True
"20.6404329,-103.473933",True
"20.6207713,-103.458621",False
"20.6462341,-103.4736947",True
"20.655134,-103.4543418",True
,False
"20.655134,-103.4543418",True
"20.6428251,-103.4746239",True
,True
"20.6429303,-103.4744129",True
"20.642873,-103.4746184",True
"20.6417025,-103.4613801",False
"20.6436073,-103.4740062",True
"20.6325065,-103.2883948",True
"20.6434555,-103.4483903",True
,True
"20.6461808,-103.4573545",True
"20.6747352,-103.3418251",False
"20.6410387,-103.4717783",True
"20.6329227,-103.291493",True
,True
"20.6475274,-103.4563498",True
,True
"20.6393692,-103.4721745",True
"20.6747352,-103.3418251",False
"20.6446956,-103.45575",True
"20.6328979,-103.289167",True
"21.3548615,-101.9094517",True
"20.6404961,-103.4730749",True
"20.6770361,-103.3196931",False
,True
"20.6524824,-103.4549024",True
"20.6771336,-103.3196044",False
,True
"20.6337809,-103.2888451",True
"20.6407513,-103.4724819",True
,True
"20.6428012,-103.4721461",True
,True
"20.6720955,-103.3235189",False
"20.6332466,-103.28806",True
"20.6410463,-103.4734278",False
,True
,False
,False
,True
,True
"20.6328601,-103.2877",True
,True
"21.3553864,-101.9061675",True
"20.6689101,-103.3116217",False
,True
"20.6352128,-103.2888798",True
,True
,True
,True
"20.6339286,-103.2886853",True
"20.6333282,-103.2889826",True
"20.6330305,-103.2878427",False
"20.6325078,-103.2886416",False
"20.6675752,-103.3118194",False
"20.6675752,-103.3118194",False
"20.6675752,-103.3118194",False
,True
"21.3537418,-101.9038429",True
,True
,True
,True
"20.4964548,-103.9524884",False
"20.6695459,-103.3109846",False
"21.3548615,-101.9094517",True
"20.3927658,-102.3485132",False
,True
"20.3927658,-102.3485132",False
,True
"20.3927658,-102.3485132",False
,True
"20.3927658,-102.3485132",False
,True
,True
"20.3927658,-102.3485132",False
,True
,True
,True
"20.3927658,-102.3485132",False
,True
,True
"20.7203302,-103.3423007",True
,True
,True
,True
,True
,True
,True
,True
,True
,True
"20.496588,-103.9523369",False
"20.7215352,-103.3400929",True
"20.7217832,-103.3419748",True
,True
"20.672788,-103.3124322",True
"20.672788,-103.3124322",True
,True
,True
"20.6724381,-103.3124099",True
"20.6725115,-103.3123847",True
,True
,True
,True
"20.6725115,-103.3123847",True
,True
"20.672858,-103.312996",True
"21.3548615,-101.9094517",True
"20.6729831,-103.3132172",True
"21.3548615,-101.9094517",True
,True
"20.6728124,-103.312996",True
,True
,True
"20.6734142,-103.312196",False
"20.6737004,-103.3119757",True
,False
"20.6729216,-103.3118909",False
"21.3548615,-101.9094517",True
"20.6727935,-103.3117781",True
"20.6725617,-103.3118232",True
"20.6725617,-103.3118232",True
,True
,True
,True
,True
,True
,True
,False
,True
,False
,True
,True
"20.632122,-103.2906956",False
,True
,True
,True
,True
,True
,True
"20.6342652,-103.2941292",True
,True
"20.6346832,-103.2942328",True
,True
"20.6348479,-103.2940643",True
"20.6349814,-103.293811",True
,True
"20.634411,-103.2938592",True
,True
"20.6351677,-103.293872",True
,True
,True
,True
"20.63574,-103.2935506",True
,True
"20.6971178,-103.3658191",True
"20.6352863,-103.293608",True
"21.3548615,-101.9094517",True
,False
"20.6352911,-103.293704",True
"21.3548615,-101.9094517",True
"20.6981685,-103.3636738",True
"20.6352359,-103.2936279",True
,True
"20.6956248,-103.3631292",True
"20.6551003,-103.2696478",True
"20.6976186,-103.3561306",True
"20.6355733,-103.2935689",True
,True
,False
"20.6350888,-103.2935676",True
"20.6979562,-103.3637521",False
"20.6357839,-103.2934323",True
"20.6971867,-103.3568854",False
"20.7027368,-103.3561013",False
"20.7137866,-103.352566",True
"20.7135948,-103.352656",True
"20.7136386,-103.3526786",True
"20.7139932,-103.3526673",True
"20.7146433,-103.3524342",True
"20.7146871,-103.3524523",True
"20.7151892,-103.3524786",True
"20.7499464,-103.3733778",False
,True
,True
"20.7503056,-103.3820517",False
"20.7534009,-103.3832429",False
"20.7533829,-103.3832074",False
"20.7545031,-103.3747327",True
"20.6244993,-103.3845515",True
"20.7523524,-103.3820721",False
"20.7523524,-103.3820721",False
"20.6002618,-103.3495348",False
,True
"20.6006713,-103.3503987",False
"20.5999249,-103.3501642",False
"20.6024609,-103.3502717",False
"20.6886354,-103.3236875",False
"20.6886354,-103.3236875",False
"20.6886354,-103.3236875",False
,True
,True
,True
,True
"20.6000678,-103.3502804",False
,True
,True
,True
,True
,True
,True
"20.6976186,-103.3561306",False
,True
"20.6155362,-103.3468842",False
"20.6905299,-103.3633572",False
"20.6970872,-103.363565",False
,True
"20.6022429,-103.351309",False
"20.6025134,-103.3506214",False
,True
"20.6021206,-103.3512602",False
,True
"20.6886354,-103.3236875",False
"20.6886354,-103.3236875",False
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,True
,False
"20.6879035,-103.3555578",False
,False
"20.6729972,-103.38991",False
,False
"20.6729972,-103.38991",False
,False
,False
,True
,False
,True
,True
,False
"20.6729972,-103.38991",True
,False
"20.6802719,-103.3506787",False
"20.6844468,-103.3608035",True
"20.6787493,-103.366178",False
"20.6577418,-103.3708366",False
"20.6917982,-103.3498652",False
"20.6877906,-103.3637179",True
"20.6767117,-103.3550133",True
"20.6781718,-103.3672264",False
"20.6858239,-103.3739501",False
"20.6781718,-103.3672264",False
,False
"20.6781718,-103.3672264",False
"20.6577418,-103.3708366",False
,True
"20.6844468,-103.3608035",True
,False
"20.7088044,-103.3577761",True
"20.6781718,-103.3672264",False
,False
"20.6840348,-103.366152",True
,False
,False
,False
,False
"20.6982863,-103.3370532",True
"20.6514547,-103.4604757",False
,False
"20.6520854,-103.4601466",False
,False
,True
,True
"20.5690852,-103.3066515",False
"15.7458692,-100.119469",False
"20.6765539,-103.3647793",True
"20.7046261,-103.3357252",False
,False
,True
"20.6589244,-103.253379",False
"20.6235454,-103.2451868",False
"20.6787006,-103.354948",False
"20.6570069,-103.2625535",True
"20.6570069,-103.2625535",True
"20.6573613,-103.2688986",False
"20.608423,-103.2998718",False
"21.3605362,-101.9045837",False
"21.3590284,-101.9016165",False
"21.3649322,-101.9039765",False
,True
,False
"21.3611863,-101.9071031",False
"21.3610882,-101.9069527",True
"21.3615396,-101.9067299",False
,False
,False
"21.3594464,-101.9010195",False
"21.3571794,-101.9010261",False
"21.3595671,-101.9008467",False
"21.3587213,-101.9011555",False
,True
,True
"21.357929,-101.9020671",False
,False
,True
"21.3590092,-101.9014275",False
,True
,True
,True
"21.3590117,-101.9027149",False
,True
,True
"21.3550905,-101.9087503",False
,True
,True
,True
,True
"20.6763549,-103.3132251",True
,True
"21.3548615,-101.9094517",True
,True
"21.3567966,-101.9222314",False
"21.3550905,-101.9087503",False
"21.3550905,-101.9087503",False
"21.3590376,-101.905359",False
,True
"21.3584845,-101.9047358",False
,True
"21.3584845,-101.9047358",False
"21.3584845,-101.9047358",False
"21.3586921,-101.9042066",False
"21.3586921,-101.9042066",False
,False
,False
,False
,False
,False
,False
"21.3579325,-101.9021958",False
,False
,False
,False
,True
"20.6500655,-103.4592384",False
,True
,True
,False
,True
"20.6517171,-103.4601499",False
,False
"20.6517171,-103.4601499",False
"20.6689485,-103.3097354",False
"20.7088796,-103.4537856",False
"21.3615396,-101.9067299",False
