,TimeStamp,Metric1,Metric2,Metric3,Metric1 Interpretation,Metric2 Interpretation,Metric3 Interpretation,Link,RT,Quotes,Likes,Views
twitter.com/DrCarlosLomeli/status/1720911337948094827,2023-11-04 21:10:10.000,0.050784274383827495,0.09426075662095827,0.22411212214717158,Mucho Enojo/Molestia,Mucho Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1720911337948094827,145,415,376,0
twitter.com/DrCarlosLomeli/status/1703408470098169988,2023-09-17 14:00:01.000,0.9364886283874512,0.42304394653177574,0.9785503149032593,Mucha Aprobacion/Alegria,Neutral,Mucha Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1703408470098169988,1,4,42,0
twitter.com/DrCarlosLomeli/status/1710369476439429397,2023-10-06 19:00:34.000,0.8077155351638794,0.26997048614005337,0.7947076938369058,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1710369476439429397,5,4,44,0
twitter.com/DrCarlosLomeli/status/1703807121408541079,2023-09-18 16:24:07.000,0.497478723526001,0.2171825772644766,0.9931859970092773,Neutral,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1703807121408541079,8,4,43,0
twitter.com/DrCarlosLomeli/status/1715526462197919765,2023-10-21 00:32:36.000,0.497478723526001,0.2171825772644766,0.9931859970092773,Neutral,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1715526462197919765,3,0,49,0
twitter.com/DrCarlosLomeli/status/1731066317229187408,2023-12-02 21:42:26.000,0.8934248447418213,0.4786432023030908,0.40315392017364504,Aprobacion/Alegria,Neutral,Neutral,twitter.com/DrCarlosLomeli/status/1731066317229187408,9,8,40,0
twitter.com/DrCarlosLomeli/status/1715790051269915052,2023-10-21 18:00:00.000,0.9174694816271464,0.19546997824424417,0.9919238090515137,Mucha Aprobacion/Alegria,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1715790051269915052,19,37,87,0
twitter.com/DrCarlosLomeli/status/1720262196339364188,2023-11-03 02:10:43.000,0.4453771545969207,0.26664230961576113,0.7024301475492017,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/DrCarlosLomeli/status/1720262196339364188,62,64,138,0
twitter.com/DrCarlosLomeli/status/1724120412500406618,2023-11-13 17:41:53.000,0.7876016753060477,0.14930524584694055,0.15557944348880223,Aprobacion/Alegria,Enojo/Molestia,Enojo/Molestia,twitter.com/DrCarlosLomeli/status/1724120412500406618,15,16,75,0
twitter.com/DrCarlosLomeli/status/1704133245292499417,2023-09-19 14:00:01.000,0.663970238632626,0.15327438003030297,0.55269236697091,Aprobacion/Alegria,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1704133245292499417,28,75,116,0
twitter.com/DrCarlosLomeli/status/1706781707687317702,2023-09-26 21:24:04.000,0.4703165888786316,0.18979802638841137,0.5494149327278137,Neutral,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1706781707687317702,23,59,107,0
twitter.com/DrCarlosLomeli/status/1703583750716559628,2023-09-18 01:36:31.000,0.4703165888786316,0.18979802638841137,0.5494149327278137,Neutral,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1703583750716559628,0,0,21,0
twitter.com/DrCarlosLomeli/status/1720097780361032050,2023-11-02 15:17:23.000,0.4703165888786316,0.18979802638841137,0.5494149327278137,Neutral,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1720097780361032050,2,0,39,0
twitter.com/DrCarlosLomeli/status/1714702892932698430,2023-10-18 18:00:01.000,0.4703165888786316,0.18979802638841137,0.5494149327278137,Neutral,Enojo/Molestia,Neutral,twitter.com/DrCarlosLomeli/status/1714702892932698430,1,0,39,0
